WORD
dna
rna
gene
protein
mutation
transcription
translation
replication
polymerase
codon
amino acid
nucleotide
chromosome
genetic code
genome
cloning
recombinant dna
restriction enzyme
pcr (polymerase chain reaction)
gene expression
double helix
nucleotides
replication
transcription
translation
messenger RNA
transfer RNA
ribosomal RNA
transcription
translation
DNA sequence
promoter region
exon
intron
gene expression
amino acids
protein folding
post-translational modification
enzyme
protein structure
point mutation
insertion mutation
deletion mutation
missense mutation
frameshift mutation
RNA polymerase
promoter
transcription factors
initiation
termination
ribosome
tRNA
codon
start codon
stop codon
DNA polymerase
replication fork
Okazaki fragments
primer
proofreading
DNA polymerase
RNA polymerase
polymerase chain reaction
replicative polymerases
translesion polymerase
triplet code
genetic code
start codon
stop codon
frame
peptide bond
protein synthesis
protein structure
amino acid sequence
side chain
phosphate group
nucleoside
nitrogenous base
sugar molecule
DNA backbone
centromere
telomere
homologous pair
histones
chromatin
codons
genetic information
protein synthesis
start codon
stop codon
complete set of genes
DNA sequence
genome sequencing
gene mapping
genome-wide association study
recombinant DNA technology
DNA cloning
gene cloning
reproductive cloning
cell cloning
recombinant technology
gene splicing
plasmid vector
gene cloning
genetic engineering
molecular scissors
cutting DNA
restriction site
recombinant DNA technology
DNA digestion
amplification
DNA template
primers
denaturation
annealing
transcription
translation
promoter region
regulation
protein synthesis
